codigo_unico,descripcion,nombre,categoria,marca,precio_compra,precio_venta,stock_actual
ASIE010,SN,ASIENTO DAYTONA DY250 CROSSFIRE/AXXO XTREEM 250/THUNDER F16 250 - MOTTOX,ACCESORIOS ,MOTTOX,29.63,41.5,0
9270,SN,ASIENTO TUKO CR5,ACCESORIOS ,NA,24.28,34,1
10165,SN,BASE TACOMETRO O SOPORTE TABLERO GP300 (ORIGINAL) - PROINTER,ACCESORIOS ,PROINTER S.A LONCIN,47,65.8,0
01.010.0007,SN,COBERTOR DE MOTOR PLASTICO NEGRO MATE FACTORY 370(19-23)-MOXAL,ACCESORIOS ,MOXAL,23,32.2,1
P10219,SN,COBERTOR DE TANQUE DE GASOLINA M1R200 NEGRO - MOTTOX,ACCESORIOS ,MOTTOX,17.14,24,1
01.024.0069,SN,COBERTOR INFERIOR DE FARO FACTORY370(2023)-MOXAL,ACCESORIOS ,MOXAL,5.17,7.25,1
COB00036,SN,COBERTOR INFERIOR DE MOTOR TUNDRA VENOM GT200 ROJO - RCP-IDIRSA,ACCESORIOS ,IDIRSA,14.28,25,0
01.013.0033,SN,COBERTOR LATERAL I/D AZUL GN125 (2012) - MOXAL,ACCESORIOS ,MOXAL,6.03,8.45,1
01.013.0032.,SN,COBERTOR LATERAL I/D NEGRO GN125 (2012) - MOXAL,ACCESORIOS ,MOXAL,4.93,6.91,0
01.013.0170,SN,COBERTOR LATERAL I/D NEGRO MATE FACTORY370 (2023) - FACTORY,ACCESORIOS ,FACTORY,63.96,89.55,1
01.013.0031,SN,COBERTOR LATERAL I/D ROJO GN125(2012) - MOXAL,ACCESORIOS ,MOXAL,5.42,7.6,0
01.013.0169,SN,COBERTOR LATERAL PORTA GUIA DIRECCIONAL I/D NEGRO MATE FACTORY 370(2023) - MOXAL,ACCESORIOS ,MOXAL,17.25,22,1
P10811,SN,COBERTOR POSTERIOR COMPLETO ICS150S ROJO - MOTTOX,ACCESORIOS ,MOTTOX,16.42,23,0
01.024.0070,SN,COBERTOR SUPERIOR DE FARO FACTORY 370(2023)-MOXAL,ACCESORIOS ,MOXAL,8.75,12.25,1
CBRT054,SN,COBERTOR TANQUE DE GASOLINA GRIS LONCIN CR5 PRO - MOTTOX,ACCESORIOS ,MOTTOX,22.57,31.6,1
342080184-0158,SN,COLETA DERECHA COLOR ROJO TUKO CR5 - TUKO,ACCESORIOS ,TUKO,7.49,10.5,0
342040185-0158,SN,COLETA IZQUIERDA ROJA TUKO CR5 250 (ORIGINAL) - TUKO,ACCESORIOS ,TUKO,9.43,13.2,0
002648,SN,COMPLEMENTO DE MASCARILLA /MASCARILLA FRONTAL ROJO(PASEO) CABALLITO - TUKO,ACCESORIOS ,MOTO INDUSTRIA S.A TUKO,12.35,17.3,1
003182,SN,COMPLEMENTO DE MASCARILLA TUKO CR5 (ORIGINAL) - MOTOINDUSTRA TUKO S.A,ACCESORIOS ,MOTO INDUSTRIA S.A TUKO,7.49,10.5,0
341430614 -0097,SN,COMPLEMENTO DE MASCARILLA TUKO CR5 250 (ORIGINAL)-TUKO,ACCESORIOS ,TUKO,7.14,10,0
342350447-0001,SN,CUBIERTA DE STOP GT (ORIGINAL)-TUKO,ACCESORIOS ,MOTO INDUSTRIA S.A TUKO,4.14,5.8,2
011150,SN,CUBIERTA DE TANQUE DERECHA/BC (ORIGINAL) - TUKO,ACCESORIOS ,MOTO INDUSTRIA S.A TUKO,16.67,23.35,0
340020054-0061,SN,CUBIERTA DE TANQUE IZQUIERDA TUKO CR5 250 (ORIGINAL) - TUKO,ACCESORIOS ,TUKO,17.96,25.15,0
011148,SN,CUBIERTA DEL TANQUE IZQUIERDO/BC - MOTOINDUSTRIA TUKO S.A,ACCESORIOS ,MOTO INDUSTRIA S.A TUKO,17.14,24.01,0
340030050-0061,SN,CUBIERTA LATERAL DERECHA TUKO CR5 250 (ORIGINAL) - TUKO,ACCESORIOS ,TUKO,15.18,24.5,0
MCV00007,SN,CUBIERTA SUPERIOR VELOCIMETRO BAJAJ PULSAR 200NS -ORIGINAL-IDIRSA,ACCESORIOS ,IDIRSA,4.78,8.5,0
CUBR005,SN,CUBRE CADENA PLASTICO RANGER 250GY-50 (2021) - MOTTOX,ACCESORIOS ,MOTTOX,3.5,4.91,1
JL181203,SN,ESTRUCTURA DE FARO PULSAR 200NS/FI PULSAR 150NS(ORIGINAL)-INDIAN MOTOS,ACCESORIOS ,INDIAN MOTOS INMOT S.A BAJAJ,8.75,12.25,0
18107.112-GEN,SN,FARO BAJAJ PULSAR 160NS/PULSAR 200NS/PULSAR R150NS - MAGIATY,ACCESORIOS ,MAGIATY,83.57,128.01,0
10430,SN,FARO DUKARE,ACCESORIOS ,NA,27,37.8,0
JL401012,SN,FARO PULSAR 150NS;160NS;PULSAR200NS (ORIGINAL) - INDIAN MOTOS,ACCESORIOS ,INDIAN MOTOS INMOT S.A BAJAJ,116.39,162.95,0
FA00031,SN,FARO SUZUKI AX100-ORIGINAL-IDIRSA,ACCESORIOS ,IDIRSA,19.79,27.71,1
280350726-0001,SN,FARO TUKO CR5 (ORIGINAL) SGC LONCIN MADIFRA,ACCESORIOS ,SGC/LONCIN MADIFRA,14.28,20,1
280350913-0001,SN,FARO TUKO GT CR5 LX-250-15A-0001 (ORIGINAL)-LONCIN,ACCESORIOS ,CAYAMBE MOTOS IMPORTACIONES Y DISTRIBUCIONES,45.98,64.4,0
01.025.0142,SN,FARO Y MASCARILLA NEGRO MATE FACTORY 370(2023)-MOXAL,ACCESORIOS ,MOXAL,92.67,129.75,0
01.019.0085,SN,GUARDABARRO POSTERIOR COMPLETO PULSAR 200NS - MOXAL,ACCESORIOS ,MOXAL,12.63,17.7,0
8465,SN,GUARDAFANGO DELANTERO AX100 - NA,ACCESORIOS ,NA,5,7,2
02122500176FJ,SN,GUARDAFANGO DELANTERO M1R 250 FV BI"24 - MOTOR 1,ACCESORIOS ,MOTOR 1,0,10.66,0
01.019.0219,SN,GUARDAFANGO DELANTERO NEGRO BRILLANTE NEGRO MATE WOLF,ACCESORIOS ,MOXAL,15,21.01,1
01.019.0227,SN,GUARDAFANGO DELANTERO NEGRO BRILLANTE/MATE GP200 - MOXAL,ACCESORIOS ,MOXAL,16.42,23,0
P10218,SN,GUARDAFANGO DELANTERO PLASTICO 4 HUECOS M1R200 NEGRO - MOTTOX,ACCESORIOS ,VARROC,8.85,12.4,0
M01380,SN,GUARDAFANGO DELANTERO PLASTICO BAJAJ PULSAR 200NS NEGRO - MOTTOX,ACCESORIOS ,VARROC,10.92,15.3,1
P10844,SN,GUARDAFANGO DELANTERO PLASTICO NEGRO SUZUKI GIXXER - MOTTOX,ACCESORIOS ,MOTTOX,10.36,14.5,0
P11213,SN,GUARDAFANGO DELANTERO PLASTICO PP 4HUECOS TUNDRA RAPTOR 250 NEGRO - MOTTOX,ACCESORIOS ,VARROC,8.71,12.2,0
P11112,SN,GUARDAFANGO DELANTERO PLASTICO ROJO TUKO CR5 - MOTTOX,ACCESORIOS ,MOTTOX,15.7,22,2
P11191,SN,GUARDAFANGO DELANTERO PLASTICO SHINERAY GP200 SPORT/DAYTONA WING EVO II/AXXOF51 NEGRO-MOTTOX,ACCESORIOS ,VARROC,16.03,22.5,1
P11111,SN,GUARDAFANGO DELANTERO PLASTICO TUKO CR5 NEGRO - MOTTOX,ACCESORIOS ,MOTTOX,12.82,22,1
GRDF043,SN,GUARDAFANGO DELANTERO PLASTICO TUNDRA VENOM GT 200 ROJO Y NEGRO - MOTTOX,ACCESORIOS ,MOTTOX,17.25,24.15,1
R200-6E1016ROJ,SN,GUARDAFANGO DELANTERO SHINERAY THOR (2023) ROJO (ORIGINAL)- SHINERAY,ACCESORIOS ,SHINERAY,13.99,19.6,0
R200-VR1306ROJ,SN,GUARDAFANGO DELANTERO SHINERAY VORTEX II ROJO(ORIGINAL)-SHINERAY,ACCESORIOS ,SHINERAY,18.99,26.6,0
7860001113436,SN,GUARDAFANGO DELANTERO TK CR3 NEGRO - EXTREME (RL10755),ACCESORIOS ,EXTREME,13.7,19.2,0
CBB250XP-002R,SN,GUARDAFANGO DELANTERO XPOWER 250 ROJO (ORIGINAL) - DAYTONA,ACCESORIOS ,DAYTONA,31.78,44.5,0
CBB250XP-002RBI,SN,GUARDAFANGO DELANTERO XPOWER 250 ROJO BARRAS INVERTIDAS (ORIGINAL) - DAYTONA,ACCESORIOS ,TODO MOTO,36.5,51.1,1
8380,SN,GUARDAFANGO KTM 200/300 - 92 MOTO SHOP KTM,ACCESORIOS ,92 MOTO SHOP KTM,81.43,114.01,0
GPP00012,SN,GUARDAFANGO PORTA PLACA BAJAJ PULSAR200NS -ORIGINAL-IDIRSA,ACCESORIOS ,IDIRSA,10.71,15.01,1
02122500158TJ,SN,GUARDAFANGO POST.NEGRO M1R/200/250 - MOTOR1,ACCESORIOS ,MOTOR 1,0,11.35,0
R200-6E1116,SN,GUARDAFANGO POSTERIOR C/LUZ PORTA PLACA LED SHINERAY THOR (OIGINAL)(18-24) - SHINERAY,ACCESORIOS ,SHINERAY,19.38,27.15,0
7860001107442,SN,GUARDAFANGO POSTERIOR PULSAR 200NS - EXTREME (RL10058),ACCESORIOS ,EXTREME,12.53,17.55,0
P10829,SN,GUARDAFANGO POSTERIOR PULSAR 200NS-MOTTOX,ACCESORIOS ,MOTTOX,6.25,8.76,1
10197,SN,GUARDAFANGO PUNTA DIAMANTE SKR - BRASSINTER,ACCESORIOS ,BRASSINTER,8.57,12.01,1
P11045,SN,GUIA DE STOP CB190/DAYTONA WOLF ;RANGER /MOTOX,ACCESORIOS ,VARROC,17.92,25.1,1
8222,SN,GUIA DE STOP CG200 - EXTREME,ACCESORIOS ,EXTREME,3.57,5,2
M01284,SN,GUIA DE STOP HONDA CB1 STAR FX 200 (2017) NEGRO - MOTOX,ACCESORIOS ,VARROC,9.24,12.95,4
M03809,SN,GUIA DE STOP HONDA CBI STAR ; FX200 (2017) CROMADO-MOTOX,ACCESORIOS ,VARROC,8.14,11.4,4
M02182,SN,GUIA DE STOP ICS 150 - MOTOX,ACCESORIOS ,VARROC,8.93,12.51,2
06.106.002,SN,GUIA DE STOP SHINERAY GY6 (2011)-MOXAL,ACCESORIOS ,MOXAL,7.86,11.01,1
GDS00032,SN,GUIA DE STOP SUZUKI GN125-RCP-IDIRSA,ACCESORIOS ,IDIRSA,6.17,8.65,1
7860001202710,SN,GUIA DE STOPS TK H2 CRM - XTRMAX,ACCESORIOS ,EXTREME,8.85,12.4,0
8069,SN,GUIA STOP 150 ICS - XTREME,ACCESORIOS ,XTREME,8.91,12.48,1
P10488,SN,GUIA STOP CABALLITO 110JL -MOTOX,ACCESORIOS ,VARROC,8.14,11.4,1
P10486,SN,GUIA STOP FX200 (2012)-MOTOX,ACCESORIOS ,VARROC,8.95,12.55,2
P10481,SN,GUIA STOP HONDA TITAN-MOTOX,ACCESORIOS ,VARROC,5.61,7.85,1
8070,SN,GUIA STOP SHINERAY GY6-EXTREME,ACCESORIOS ,EXTREME,5.46,7.65,1
12230,SN,JUEGO DE COLETA IZQUIERDA/DERECHA NEGRO TUKO GT (ORIGINAL)-TUKO,ACCESORIOS ,TUKO,10.85,15.2,1
008517,SN,JUEGO DE COMPLEMENTO DE MASCARILLA TUKO CR3 200 (ORIGINAL)- TUKO,ACCESORIOS ,TUKO,21.42,30,2
12221,SN,JUEGO DE CUBIERTA DE TANQUE TUKO GT 4V (ORIGINAL) - TUKO,ACCESORIOS ,TUKO,50,70,1
010674,SN,JUEGO DECORATIVO DE MASCARILLA IZQ/DRCH NEGRO TUKO GT (ORIGINAL)-TUKO,ACCESORIOS ,TUKO,10.71,15.01,1
50001,SN,KIT DE CARTER RALLY 300 (ORIGINAL) - LONCIN,REPUESTOS,PROINTER S.A LONCIN,128.8,180.33,1
MST00007,SN,LENS GN125 - IDIRSA,REPUESTOS,IDIRSA,3.2,4.5,0
LPDD00001,SN,LUZ DE PLACA DAYTONA DY200 WOLF - IDIRSA,ACCESORIOS ,IDIRSA,7.82,10.95,0
8068,SN,LUZ DE STOP BAJAJ CT125 -MOTOX,ACCESORIOS ,VARROC,6.71,9.4,1
7880001201744,SN,LUZ DE STOP GN125 F -EXTREME,ACCESORIOS ,EXTREME,11.21,15.7,1
0203060055T,SN,LUZ DE STOP GN125 F -MOTOR1,ACCESORIOS ,MOTOR 1,11.21,15.7,1
06.106.0040,SN,LUZ DE STOP HONDA CBI STAR FX200 (2017) NEGRO -MOXAL,ACCESORIOS ,MOXAL,9.53,13.35,2
8067,SN,LUZ DE STOP PULSAR 135-225 NS/LS -IDIRSA,ACCESORIOS ,IDIRSA,9.97,13.96,1
GDS00005,SN,LUZ DE STOP PULSAR 200 NS -IDIRSA,ACCESORIOS ,IDIRSA,9.85,13.8,0
R250-SP2107,SN,LUZ DE STOP SHINERAY SPORT II (ORIGINAL) - MASSLINE S.A,ACCESORIOS ,MASSLINE S.A,15.46,21.65,0
P10238,SN,LUZ DE STOP SKR200-250 MOTOX,ACCESORIOS ,VARROC,7.82,10.95,1
LDP00001,SN,LUZ PLACA DAYTONA DY200WOLF -RCP-IDIRSA,ACCESORIOS ,IDIRSA,7.82,11.95,1
LUZ00001,SN,LUZ PLACA GP200 SHINERAY XY200 G8 - IDIRSA,ACCESORIOS ,IDIRSA,3.92,5.49,2
LUZ00002,SN,LUZ PORTA PLACA THOR 200 - MOTTOX,ACCESORIOS ,VARROC,7.84,10.98,1
06.106.0053,SN,LUZ STOP 3PIN CHIEF (2021) - MOXAL,ACCESORIOS ,MOXAL,8.75,12.25,0
8074,SN,LUZ STOP AX4 -MOXAL,ACCESORIOS ,MOXAL,5.03,7.05,1
P11155,SN,LUZ STOP BAJAJ PLATINA 125-100-MOTOX,ACCESORIOS ,VARROC,6.42,9,1
8076,SN,LUZ STOP CABALLITO / YAMAHA / CRIPTON,ACCESORIOS ,NA,9.17,12.85,1
06.106.0038,SN,LUZ STOP DAYTONA TEKKEN -MOXAL,ACCESORIOS ,MOXAL,10.92,15.3,1
P10496,SN,LUZ STOP ENDURO 200 -MOTOX,ACCESORIOS ,VARROC,4,5.6,2
8073,SN,LUZ STOP FX200 FORTE -MOTOR 1,ACCESORIOS ,MOTOR 1,6.3,8.82,5
06.106.0012,SN,LUZ STOP GN125-MOXAL,ACCESORIOS ,MOXAL,7.27,10.2,0
06.106.0055,SN,LUZ STOP LED 3P DY250 SCORPION(20-22)-MOXAL,ACCESORIOS ,MOXAL,4.71,6.6,1
06.106.0051,SN,LUZ STOP PLATINA 125/100-MOXAL,ACCESORIOS ,MOXAL,7.29,10.2,2
06.106.0050,SN,LUZ STOP RANGER GY250 -MOXAL,ACCESORIOS ,MOXAL,8.39,11.75,3
8071,SN,LUZ STOP RANGER GY8-EXTREME,ACCESORIOS ,EXTREME,6.07,8.5,0
M00966,SN,LUZ STOP RANGER/ HONDA NXR 125 BROSS ; SHINERAY XY200GY- ;GALARDY;QMC200GY-MOTOX,ACCESORIOS ,MOTTOX,7.85,11,2
8072,SN,LUZ STOP RANGER;HONDA BROSS;SHINERAY 200GY (LED)-MOXAL,ACCESORIOS ,MOXAL,8.39,11.75,0
7860001200631,SN,LUZ STOP SKR 200/250 -XTREME,ACCESORIOS ,XTREME,8.39,11.75,0
P10758,SN,LUZ STOP STIFF 150 IGM CUADRADA -MOTOX,ACCESORIOS ,VARROC,8.95,12.55,2
06.106.0032,SN,LUZ STOP STIFF 150/IGM REDONDO -MOXAL,ACCESORIOS ,MOXAL,5.88,8.25,1
8075,SN,LUZ STOP TUKO TKZ200-TUKO,ACCESORIOS ,MOTO INDUSTRIA S.A TUKO,14.28,20,1
R250-II0311,SN,MASCARILLA CHIEF II MATE (ORIGINAL) - SHINERAY,ACCESORIOS ,SHINERAY,23.57,33.01,0
M01376,SN,MASCARILLA COMPLETA BAJAJ PULSAR 200NS NEGRO - MOTTOX,ACCESORIOS ,MOTTOX,29.49,41.3,0
P11113,SN,MASCARILLA COMPLETA TUKO TK-CR5 NEGRO - MOTTOX,ACCESORIOS ,MOTTOX,42.96,65,2
P10458,SN,MASCARILLA COMPLETO DAYTONA DY200 SHARK/TUNDRA RAPTOR 250/THUNDER TRX200R NEGRO - MOTTOX,ACCESORIOS ,VARROC,16.21,22.7,0
7860001111463,SN,MASCARILLA CON FARO TK H2 CRM ROJO - EXTREME (RP10460),ACCESORIOS ,EXTREME,32.43,45.4,0
341440043-0001,SN,MASCARILLA DE FARO NEGRO 6V (13539) (ORIGINAL) - TUKO,ACCESORIOS ,TUKO,9.53,13.35,0
9990,SN,MASCARILLA DELANTERA YAMAHA FZ16 GRIS,ACCESORIOS ,D MOTO,25.3,35.42,0
341460038-0012,SN,MASCARILLA GP300 ROJA (ORIGINAL) - PROINTER,ACCESORIOS ,PROINTER S.A LONCIN,97,135.8,0
0212260079J,SN,MASCARILLA NEGRA - M1R 200/250/TRAIL FW200 - MOTOR 1,ACCESORIOS ,MOTOR 1,7.39,10.35,0
009464,SN,MASCARILLA PARA FARO BLANCO TUKO CR5 (ORIGINAL) - MOTOINDUSTRIA TUKO S.A,ACCESORIOS ,MOTO INDUSTRIA S.A TUKO,5.56,7.8,0
8082,SN,MESA DE DIRECCION CG125/STIFF 150,REPUESTOS,NA,20.7,28.98,1
8083,SN,MESA DE DIRECCION LONCIN PRO5/CR5,REPUESTOS,SGC/LONCIN MADIFRA,49.85,69.79,1
8085,SN,MESA DE DIRECCION SHINERAY CHIEF II BARRA INVERTIDA -SHINERAY,REPUESTOS,SHINERAY,84.11,107.76,1
8084,SN,MESA DE DIRECCION SHINERAY XY200-MOTOX,REPUESTOS,VARROC,44.64,62.5,2
8081,SN,MESA DE DIRECCION SHINERAY XY250 -MOTOX,REPUESTOS,VARROC,52.03,72.85,1
RS10007,SN,MESA DE SUSPENSION INFERIOR Y SUPERIOR CG150 - XTR MAX,REPUESTOS,EXTREME,20.5,28.71,0
MST00002,SN,MICA DE STOP SUKIDA ; SKR 200 - IDIRSA,ACCESORIOS ,IDIRSA,2.07,2.9,4
MST003CH,SN,MICA DE STOP SUZUKI EN125 - IDIRSA,ACCESORIOS ,IDIRSA,2.24,3.14,4
MST00006,SN,MICA DE STOP SUZUKI GN125 - IDIRSA,ACCESORIOS ,IDIRSA,2.25,3.15,3
MST00008,SN,MICA STOP SUZUKI GN125F - IDIRSA,ACCESORIOS ,IDIRSA,4.02,5.64,3
CB200ADV-062,SN,PARABRISAS ARMADO ADVENTURE 200 -ORIGINAL-DAYTONA,ACCESORIOS ,TODO MOTO,35.28,49.4,0
06.143.0034,SN,PORTA PLACA (SIN LUZ DE STOP) RANGER 250GY50(16-21) - MOXAL,ACCESORIOS ,MOXAL,8.51,11.91,0
06.143.0010,SN,PORTA PLACA (SIN LUZ DE STOP)XY200GY6(2011)-MOXAL,ACCESORIOS ,MOXAL,9.24,12.95,1
P10255,SN,PORTA PLACA COMPLETO CON LUZ STOP BROSS SHINERAY XY200 GY-8 - MOTTOX,ACCESORIOS ,MOTTOX,15.18,21.25,1
P10747,SN,PORTA PLACA DAYTONA DY200 SHARK II/DY200GY-3/DK 200GY - MOTTOX,ACCESORIOS ,MOTTOX,6.03,8.45,2
PORT020,SN,PORTA PLACA SHINERAY THOR200 - MOTTOX,ACCESORIOS ,MOTTOX,12.96,18.15,1
06.143.0001,SN,PORTA PLACA(CON LUZ STOP)BROSS200;HON.XR250 TORNADO(10-18);SHI.XY200GY8(10-17);AXX.XY200GY8(10-11)-MOXAL,ACCESORIOS ,MOXAL,8.39,12.5,0
GP1R-002,SN,PORTA PLACAS GP1-R/CHIEF II PRO/F370/DRAKON F300 (ORIGINAL) - DAYTONA,ACCESORIOS ,DAYTONA,40.89,47.25,0
CBB250XP-086,SN,PROTECTOR ESCAPE (FIBRA DE CARBONO) XPOWER/GP1R/THD SR71/PEGASSO SUKK 250CC/FACTORY FZ 300CC(ORIGINAL)-DAYTONA,ACCESORIOS ,TODO MOTO,14.89,20.85,1
02141200159T0,SN,SET COBERTOR POST.BLANCO SIN STICKERS-M1R-MOTOR 1,ACCESORIOS ,MOTO INDUSTRIA S.A TUKO,0,6.6,0
50089Z,SN,SET COBERTOR TANQUE HONDA BROSS AZUL,ACCESORIOS ,CAYAMBE MOTOS IMPORTACIONES Y DISTRIBUCIONES,9.22,12.91,1
02121300159,SN,SET COBERTORES INTER. SIN STICKERS M1R 200 - MOTOR1,ACCESORIOS ,MOTOR 1,0,7.85,0
02121300159J,SN,SET COBERTORES TANQUE NEGRO SIN STIKERS - MOTOR1,ACCESORIOS ,MOTOR 1,7.17,10.05,1
M00634,SN,SET RAYOS POSTERIOR 8GX150MM DAYTONA DY200GY-8 CROMADO - MOTTOX,ACCESORIOS ,MOTTOX,4,6.7,5
02150100176R,SN,SET STIKER ROJO M1R 250 FV BI24-MOTOR1,ACCESORIOS ,MOTOR 1,0,12.35,0
16320,SN,SET TAPAS LATERALES HONDA BROSS AZUL BROSS - CAYAMBE MOTOS,ACCESORIOS ,CAYAMBE MOTOS IMPORTACIONES Y DISTRIBUCIONES,9.53,13.35,0
10219,SN,SOPORTE DE MASCARILLA FACTORY 370 (ORIGINAL) - JUAN EL JURI,ACCESORIOS ,JUAN ELJURI,42.86,39.7,0
06.143.0022,SN,SOPORTE PORTA PLACA POSTERIOR BAJ.PULSAR200NS(14-17)-MOXAL,ACCESORIOS ,MOXAL,6.78,11.8,2
R250-II0334,SN,TANQUE DE COMBUSTIBLE CHIEF II PRO NEGRO (ORIGINAL) - SHINERAY,ACCESORIOS ,SHINERAY,76.57,107.22,0
9741,SN,TANQUE DE COMBUSTIBLE ICS150S - D MOTO,ACCESORIOS ,D MOTO,46.56,65.2,0
10088,SN,TANQUE DE COMBUSTIBLE NEGRO MATE FX200/250 (2017) ALTO - MOTOR1,ACCESORIOS ,MOTOR 1,50.39,70.55,1
R250-II0321,SN,TANQUE DE COMBUSTIBLE SHINERAY CHIEF II (2022) VERDE (ORIGINAL)-SHINERAY,ACCESORIOS ,SHINERAY,76.75,107.45,0
TAQ00077,SN,TANQUE DE GASOLINA TUNDRA VENOM GT200 (NEGRO) RCP-IDIRSA,ACCESORIOS ,IDIRSA,64.99,96.01,0
110520673-0001,SN,TAPA DEL PIÑON ARRASTRE 6V TUKO CR5 (ORIGINAL) - TUKO,ACCESORIOS ,MOTO INDUSTRIA S.A TUKO,5.75,8.05,1
P10814,SN,TAPA LATERAL ICS150S ROJO - MOTTOX,ACCESORIOS ,MOTTOX,13.75,19.25,0
P11049,SN,TAPA LATERAL INFERIOR HONDA CB190R/DAYTONA DY200WOLF/RANGER SPORT CFZ250-MOTTOX,ACCESORIOS ,MOTTOX,11.63,16.3,1
R250-II0441,SN,TAPA LATERAL IZQUIERDA/DERECHA (2022)(ORIGINAL)-SHINERAY,ACCESORIOS ,SHINERAY,17.14,24,0
7860001111395,SN,TAPAS LATERALES CUBRETANQUE TK H2 CRM ROJO RL10136-XTRMAX,ACCESORIOS ,EXTREME,28.75,40.25,0
7860001111425,SN,TAPAS LATERALES POSTERIORES TK H2 CRM ROJO RL10139 - XTR MAX,ACCESORIOS ,EXTREME,21.42,30,0
7860001111418,SN,TAPAS LATERALES TK H2 CRM - XTRMAX,ACCESORIOS ,EXTREME,10.92,15.3,0
R250-II0459,SN,TIMON DER/IZQ 2023(B.INV) CHIEF 4V NINJA2.5/3.0 (ORIGINAL)-SHINERAY,ACCESORIOS ,SHINERAY,37.85,62,3
TIMO004,SN,TIMON METALICO CROMADO LONCIN RALLY 300 - MOTTOX,ACCESORIOS ,MOTTOX,12.14,17,1
M02108,SN,TIMON METALICO NEGRO SIN TRAVESAÑO DAYTONA DY250 TEKKEN/AXXO TRACKER 250 - MOTTOX,ACCESORIOS ,MOTTOX,15.36,21.51,0
JF402400,SN,VELOCIMETRO PULSAR 150NS/AS;PULSAR160NS (ORIGINAL) - INDIAN MOTOS,ACCESORIOS ,INDUMS S.A (INDUVIS CIA INDUSTRIAL DE ECUADOR),157.03,219.87,1
9805,SN,VELOCIMETRO PULSAR 200NS/AS 2017 ORIGINAL - INDIAN MOTOS,ACCESORIOS ,INDIAN MOTOS INMOT S.A BAJAJ,126.5,177.11,1
VEN00001,SN,VENTILADOR ELECTRICO PULSAR 200NS(ORIGINAL-BAJAJ)-RECALDE,REPUESTOS,RECALDE,71.07,99.51,0
LPB00007,SN,VISOR MASCARILLA PULSAR 200NS -ORIGINAL-IDIRSA,ACCESORIOS ,IDIRSA,9,12.6,2
8118,SN,KIT DE RETENEDORES CG150 - D MOTO,REPUESTOS,D MOTO,1.78,2.5,0
06.095.0002,SN,KIT DE RETENES GY6125 - MOXAL,REPUESTOS,MOXAL,2.78,3.9,2
06.095.0052,SN,KIT DE RETENES SHI. XY250GY6(2021) - MOXAL,REPUESTOS,MOXAL,2.78,3.9,1
213037,SN,KIT RETEN SUZUKI TS-185 - IMBRA,REPUESTOS,NA,9.99,13.99,1
06.095.0001,SN,KIT RETENEDOR CG125 - MOXAL,REPUESTOS,MOXAL,2.25,3.16,0
AS0624,SN,KIT RETENEDOR DE MOTOR SUZUKI AX100,REPUESTOS,STANDARD,5.03,7.05,2
06.095.0003,SN,KIT RETENEDORES 110CC - MOXAL,REPUESTOS,MOXAL,2.13,3,0
AS0969,SN,KIT RETENEDORES DE MOTOR PULSAR 200/220 (4PCS) - STANDARD,REPUESTOS,STANDARD,3.35,4.7,2
100586,SN,KIT RETENEDORES DE MOTOR SUZUKI DR200(4PCS),REPUESTOS,STANDARD,3.92,5.49,1
RET00054,SN,KIT RETENEDORES DE MOTOR SUZUKI GIXXER 150 (3PCS) - STANDARD,REPUESTOS,STANDARD,3.92,5.49,3
RET00068,SN,KIT RETENEDORES DE MOTOR YAMAHA FZ16 - STANDARD,REPUESTOS,STANDARD,3.35,4.7,4
06.095.0049,SN,KIT RETENES YAM. YBR125Z(2016) - MOXAL,REPUESTOS,MOXAL,1.67,2.35,2
12225,SN,RETEN 12X22X5 ( TC/NBR BLUE)(012272)HONDA CBX150-NX150 - MUNDO DEL RULIMAN,REPUESTOS,MUNDO DEL RULIMAN,2,2.8,8
8328,SN,RETEN 14-28-7,REPUESTOS,NA,2.64,3.7,30
8330,SN,RETEN 15-25-5,REPUESTOS,NA,1.78,2.5,5
8385,SN,RETEN 16X28X7 - MUNDO DEL RULIMAN,REPUESTOS,MUNDO DEL RULIMAN,2.15,3.01,2
8335,SN,RETEN 20-35-7,REPUESTOS,NA,0.71,1,5
8338,SN,RETEN 20-42-8,REPUESTOS,NA,0.71,1,7
20305,SN,RETEN 20X30X5 TC/NB1 - MUNDO DEL RULIMAN,REPUESTOS,MUNDO DEL RULIMAN,2.25,3.15,2
8333,SN,RETEN 22-35-7,REPUESTOS,NA,1.42,2,2
225259,SN,RETEN 22X35X7 (HTCL/PA0) TTO (C5259) - MUNDO DEL RULIMAN,REPUESTOS,MUNDO DEL RULIMAN,2.49,3.5,3
22357,SN,RETEN 22X35X7X7.5 TCV/PA OKAMI DIR/HID MAZDA - MUNDO DEL RULIMAN,REPUESTOS,MUNDO DEL RULIMAN,3,4.2,3
22427,SN,RETEN 22X42X7 - MUNDO DEL RULIMAN,REPUESTOS,MUNDO DEL RULIMAN,2.49,3.5,5
8336,SN,RETEN 25-35-7,REPUESTOS,NA,0.71,1,8
8337,SN,RETEN 25-40-7,REPUESTOS,NA,0.71,1,7
8339,SN,RETEN 25-42-8,REPUESTOS,NA,0.71,1,8
8340,SN,RETEN 26-37-10.5,REPUESTOS,NA,0.71,1,5
8341,SN,RETEN 27*37*7,REPUESTOS,NA,0.71,1,5
8344,SN,RETEN 27*38*10,REPUESTOS,NA,0.71,1,10
8342,SN,RETEN 27*39*10.5,REPUESTOS,NA,0.71,1,7
