codigo_unico,descripcion,nombre,categoria,marca,precio_compra,precio_venta,stock_actual
04.008.0232,SN,LLANTA 160/60-17 69H TL-K711-KENDA-CHINA,LLANTAS Y TUBOS ,KENDA - VIETNAM ( MOXAL),79.64,111.51,2
KS-178,SN,LLANTA 2.75-17 4PR P190 TL (TUBULAR) - KINGSTONE - FERRIIMPORTACIONES,LLANTAS Y TUBOS ,FERRIMPORTACIONES,20.96,29.35,0
020010166-WD041,SN,LLANTA 2.75-17 P6143/6PR/TT-DK PARTS,LLANTAS Y TUBOS ,DK PARTS,20.72,29.01,0
LL50005,SN,LLANTA 2.75-18 48P TL HX035(DOBLE PROPOSITO)-PANTRO-EXTREME,LLANTAS Y TUBOS ,EXTREME,23.71,33.2,0
020010224-WD041,SN,LLANTA 2.75-18 P6155TL - DK PARTS,LLANTAS Y TUBOS ,DK PARTS,27.71,38.8,0
8301,SN,LLANTA 2.75-18 YX-P126 6PR TL YUANXING - D MOTO,LLANTAS Y TUBOS ,D MOTO,19.99,32.5,1
KS-062,SN,LLANTA 275-17 - 6PRTL P267 KINGSTONE - FERRIIMPORTACIONES,LLANTAS Y TUBOS ,FERRIMPORTACIONES,20.96,29.35,1
8176,SN,LLANTA 275-18 TL H(1017) - SPLENDYDURO,LLANTAS Y TUBOS ,IMPORTADORA TORRES,26.85,37.6,0
8303,SN,LLANTA 3.00-10TL BL-296 MTG-D MOTO,LLANTAS Y TUBOS ,D MOTO,15.14,21.2,0
8266,SN,LLANTA 3.00-17 P126 TL - YUANXING - D MOTO,LLANTAS Y TUBOS ,D MOTO,23.93,33.5,0
8177,SN,LLANTA 3.00-18 TL H(1017P)-SPLENDYDURO,LLANTAS Y TUBOS ,IMPORTADORA TORRES,29.93,41.9,0
8299,SN,LLANTA 3.00-21 6PR TT YX-P126 - YUANXING - D MOTO,LLANTAS Y TUBOS ,D MOTO,23.93,33.5,0
9862,SN,LLANTA 350-16 P126 - YUANXING,LLANTAS Y TUBOS ,IDIRSA,28.17,39.45,1
10446,SN,LLANTA 4.60/18 (P82A) - D MOTO,LLANTAS Y TUBOS ,D MOTO,26.78,37.5,1
KS-018,SN,LLANTA 410-18 4PR P126 TT KINGSTONE - FERRIIMPORTACIONES,LLANTAS Y TUBOS ,FERRIMPORTACIONES,25.42,35.6,1
41018,SN,LLANTA 410-18 P126 - D MOTO,LLANTAS Y TUBOS ,D MOTO,26.42,37,0
9906,SN,LLANTA 460-17 (P82) - YUANXING-D MOTO,LLANTAS Y TUBOS ,D MOTO,29.78,41.7,1
KS-245,SN,LLANTA 80-90-17 6PR P99 TL(TUBULAR) KINGSTONE - FERRIIMPORTACIONES,LLANTAS Y TUBOS ,FERRIMPORTACIONES,19.28,27,1
020010158-WD041,SN,LLANTA 80/100-21 P262/6PR/TT - DK PARTS,LLANTAS Y TUBOS ,DK PARTS,28.32,39.65,0
020010178-WD041,SN,LLANTA 80/90-17 P6138/6PR/TL - DK PARTS,LLANTAS Y TUBOS ,DK PARTS,25.54,35.75,0
YX-227,SN,LLANTA 90-80-17 P99 4PR TL (TUBULAR) - YUANXING - FERRIIMPORTACIONES,LLANTAS Y TUBOS ,FERRIMPORTACIONES,21.43,30,1
9782,SN,LLANTA 90-90-17 P126 YUANXING - D MOTO,LLANTAS Y TUBOS ,D MOTO,29.15,40.8,0
10072,SN,LLANTA 90-90-21 (P126)- YUANXING-D MOTO,LLANTAS Y TUBOS ,D MOTO,22.5,31.51,1
YX-020,SN,LLANTA 90/90-19 P126 6PR TT YUANXING - FERRIIMPORTACIONES,LLANTAS Y TUBOS ,FERRIMPORTACIONES,22.57,31.6,1
020010119-WD040,SN,LLANTA 90/90-19 P6167/6PR/TT - DK PARTS,LLANTAS Y TUBOS ,DK PARTS,26.68,37.35,1
020010138-WD043,SN,LLANTA 90/90-21 P6167/6PR/TT- DK PARTS,LLANTAS Y TUBOS ,DK PARTS,28.75,40.25,0
10073,SN,LLANTA 90/90/19 YX(P126) - YUANXING,LLANTAS Y TUBOS ,YUANXING,23.28,32.6,3
10443,SN,LLANTA MTG 110/100-18 TT MR897 MTG - D MOTO,LLANTAS Y TUBOS ,D MOTO,30.53,42.75,0
15070,SN,LLANTA MTG 150/70/17 TL BL-703 - D MOTO,LLANTAS Y TUBOS ,D MOTO,41.31,57.85,0
9742,SN,LLANTA MTG 275-17 - D MOTO,LLANTAS Y TUBOS ,D MOTO,23,32.2,0
18627,SN,LLANTA MTG 275-18 TL BL-627 - D MOTO,LLANTAS Y TUBOS ,D MOTO,19.99,28,1
8604,SN,LLANTA MTG 3.00-18TL BL-627 - D MOTO,LLANTAS Y TUBOS ,D MOTO,20.72,29.01,0
06.103.0006,SN,LLAVE DE GASOLINA AX100(2021);SUZ.GN125(10-17);TUN.TD150GAA(15-23)-MOXAL,LLANTAS Y TUBOS ,MOXAL,3.53,4.95,1
10365,SN,LLAVE DE GASOLINA PASO GRUESO - D MOTO,REPUESTOS,D MOTO,1.78,2.5,6
06.103.0003,SN,LLAVE DE GASOLINA ROSCA GRUESA M15X1.5 WY125 ;DY WOLF(18-19)- MOXAL,REPUESTOS,MOXAL,2.64,3.7,0
M00437,SN,LLAVE PASO DE GASOLINA HILO FINO SHINERAY XY150/CY150-10D/CY150-10F/THOR 200 - MOTTOX,REPUESTOS,MOTTOX,1.78,2.5,5
M00803,SN,LLAVE PASO DE GASOLINA HILO GRUESO DAYTONA DY200WOLF/M1R FX200/ICS150S/SHINERAY GP200-MOTTOX,REPUESTOS,MOTTOX,1.96,2.75,2
M00428,SN,LLAVE PASO DE GASOLINA HILO GRUESO SHINERAY XY150/WY125/PANDILLERA - MOTTOX,REPUESTOS,MOTTOX,2.15,3.01,2
M01071,SN,LLAVE PASO DE GASOLINA M14 HILO FINO CG125 - MOTTOX,REPUESTOS,MOTTOX,2.13,3,5
M002515,SN,LLAVE PASO DE GASOLINA SUZUKI GN125 - MOTTOX,REPUESTOS,MOTTOX,3.07,4.3,3
06.109.0012,SN,MANGUERA DE FLUIDO DE FRENO POSTERIOR 620MM-FX250AK47(2017) -MOXAL,REPUESTOS,MOXAL,5.54,7.75,2
15114.104-EVE,SN,MANGUERA DE FRENO (FLUIDO) POSTERIOR 60CM ENDURO 200 - MAGIATY,REPUESTOS,MAGIATY,3.35,4.7,1
M00216,SN,MANGUERA DE FRENO POSTERIOR ALTA PRESION COMPLETO 45CM SHINERAY XY200GY XY END CROS200 - MOTTOX,REPUESTOS,MOTTOX,4.28,6,0
06.109.0025,SN,MANGUERA FLUIDO DE FRENO POSTERIOR 605MM DY250SCORPION (2020) - MOXAL,REPUESTOS,MOXAL,6.75,9.45,1
06.110.0045,SN,MANIGUETA CON BASE DE FRENO AX4 -MOXAL,REPUESTOS,MOXAL,3.46,4.85,2
DJ191082,SN,MANIGUETA DE EMBRAGUE CON BASE BAJAJ PULSAR200NS(ORIGINALDJ191082)-MAGIATY,REPUESTOS,MAGIATY,13.57,19,2
MNZN002,SN,MANZANA POSTERIOR COMPLETO 4H PARA DISCO DE FRENO DAYTONA DY250 SCORPION 2021(EJE=17MM)-MOTTOX,REPUESTOS,MOTTOX,47.32,66.25,1
MEC-002,SN,MECHA PARA VULCANIZAR LLANTA MOTO Y AUTO #8 - FERRIMPORTCIONES,REPUESTOS,FERRIMPORTACIONES,2.71,3.8,1
CBB250XP-017,SN,MESA DE DIRECCION ARMADA XPOWER/THD SR71/PEGASSO DUKK 250CC/FACTORY FZ 300CC B/N (ORIGINAL)-DAYTONA,REPUESTOS,TODO MOTO,73.15,102.41,0
M-BAS072,SN,MESA DE DIRECCION SKR200S INF/SUP - RECALDE,REPUESTOS,RECALDE,55.89,78.25,0
M01026,SN,MESA DE DIRECCION TELESCOPICA COMPLETA SUKIDA STIFF150;ICS150S - MOTTOX,REPUESTOS,MOTTOX,23.28,32.6,1
MON00035,SN,MONOSHOCK 305MM GY200 (PARA TIPO ENDURO)- RCP - IDIRSA,REPUESTOS,IDIRSA,39.21,54.9,0
